team,def
nor,Saints DST
was,Football Team DST
bal,Ravens DST
nwe,Patriots DST
lac,Chargers DST
buf,Bills DST
pit,Steelers DST
nyj,Jets DST
kan,Chiefs DST
jac,Jaguars DST
sea,Seahawks DST
ari,Cardinals DST
gnb,Packers DST
den,Broncos DST
dal,Cowboys DST
sfo,49ers DST
mia,Dolphins DST
lar,Rams DST
nyg,Giants DST
ind,Colts DST
phi,Eagles DST
cin,Bengals DST
chi,Bears DST
ten,Titans DST
det,Lions DST
lvr,Raiders DST
tam,Buccaneers DST
hou,Texans DST
cle,Browns DST
car,Panthers DST
atl,Falcons DST
min,Vikings DST
oak,Raiders DST
sdg,Chargers DST
stl,Rams DST
