state,sportsbook
CO,RiversCasinoPA
CO,DraftKings
CO,FanDuel
CO,BetMGM
CO,PointsBet
IA,RiversCasinoPA
IA,DraftKings
IA,FanDuel
IA,BetMGM
IA,PointsBet
IL,RiversCasinoPA
IL,DraftKings
IL,FanDuel
IL,PointsBet
IN,RiversCasinoPA
IN,DraftKings
IN,FanDuel
IN,BetMGM
IN,PointsBet
IN,UnibetNJ
MI,RiversCasinoPA
MI,DraftKings
MI,FanDuel
MI,BetMGM
MI,PointsBet
NH,DraftKings
NH,FanDuel
NJ,DraftKings
NJ,FanDuel
NJ,BetMGM
NJ,PointsBet
NJ,SugarHouseNJ
NJ,UnibetNJ
NV,BetMGM
OR,BetMGM
PA,RiversCasinoPA
PA,DraftKings
PA,FanDuel
PA,BetMGM
PA,SugarHousePA
PA,UnibetNJ
TN,DraftKings
TN,FanDuel
TN,BetMGM
VA,DraftKings
VA,FanDuel
VA,BetMGM
WV,DraftKings
WV,FanDuel
WV,BetMGM
CO,Caesars
IA,Caesars
IN,Caesars
MI,Caesars
NJ,Caesars
NV,Caesars
PA,Caesars
TN,Caesars
VA,Caesars
WV,Caesars
AZ,DraftKings
AZ,BetMGM
AZ,RiversCasinoPA
AZ,FanDuel
AZ,UnibetNJ
NY,DraftKings
NY,Caesars
NY,FanDuel
NY,BetMGM
NY,PointsBet
NY,RiversCasinoPA
